code,store_id,internal_store_id,description,discount_value_percentage,on_expense,min_order_value,expiration_date,max_usage,real_usage,coupon_type
"pvffpatCwLZe","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","Our tangy-inspired مناشف brings a taste of luxury to your concerned lifestyle","0.45","both","86","2026-04-24T22:49:39.419Z","40","8","personal"
"pMSmiTd","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","New تركواز دجاج with ergonomic design for sophisticated comfort","0.18","both","59","2026-05-19T10:13:47.829Z","58","3","personal"
"oGsaHwD","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","New رقائق بطاطس model with 82 GB RAM, 850 GB storage, and hateful features","0.35","partner","174","2025-09-17T08:03:54.417Z","94","7","public"
"ChNpTgCsqzzxCv","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","Discover the actual new طاولة with an exciting mix of مطاط ingredients","0.24","both","213","2026-02-27T15:44:18.375Z","10","7","public"
"iANkXIATuBzEog","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","Our bitter-inspired حاسوب brings a taste of luxury to your soupy lifestyle","0.4","our_company","41","2025-09-02T08:31:34.393Z","65","4","personal"
"BQBprcet","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","Stylish أحذية designed to make you stand out with insecure looks","0.15","our_company","109","2025-08-03T19:25:52.307Z","10","6","public"
"wbJhXfEu","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","The sleek and burdensome طاولة comes with فيروزي LED lighting for smart functionality","0.33","our_company","137","2025-10-15T05:13:29.691Z","58","7","public"
"SPDWHurIluYJ","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","Professional-grade دراجة هوائية perfect for questionable training and recreational use","0.45","our_company","256","2025-07-22T13:24:42.488Z","75","7","public"
"oJiJmUDCJBt","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","Professional-grade جبن perfect for rewarding training and recreational use","0.43","our_company","240","2025-07-15T06:06:21.209Z","66","0","public"
"LzNvZRMtZQum","dbcf5f9e-dfe8-4e8e-81a5-86de42c78672","22","The رصاصي سمك combines مالطا aesthetics with Xenon-based durability","0.06","both","170","2026-02-23T20:28:38.326Z","53","5","personal"
